n,T,num_runs,num_odd,num_even
2,1,1,0,1
3,7,4,2,5
4,2,1,0,2
5,5,2,1,4
6,8,5,2,6
7,16,10,5,11
8,3,1,0,3
9,19,12,6,13
10,6,3,1,5
11,14,8,4,10
12,9,5,2,7
13,9,4,2,7
14,17,11,5,12
15,17,10,5,12
16,4,1,0,4
17,12,6,3,9
18,20,13,6,14
19,20,12,6,14
20,7,3,1,6
21,7,2,1,6
22,15,9,4,11
23,15,8,4,11
24,10,5,2,8
25,23,14,7,16
26,10,5,2,8
27,111,82,41,70
28,18,11,5,13
29,18,10,5,13
30,18,11,5,13
31,106,78,39,67
32,5,1,0,5
33,26,16,8,18
34,13,7,3,10
35,13,6,3,10
36,21,13,6,15
37,21,12,6,15
38,21,13,6,15
39,34,22,11,23
40,8,3,1,7
41,109,80,40,69
42,8,3,1,7
43,29,18,9,20
44,16,9,4,12
45,16,8,4,12
46,16,9,4,12
47,104,76,38,66
48,11,5,2,9
49,24,14,7,17
50,24,15,7,17
51,24,14,7,17
52,11,5,2,9
53,11,4,2,9
54,112,83,41,71
55,112,82,41,71
56,19,11,5,14
57,32,20,10,22
58,19,11,5,14
59,32,20,10,22
60,19,11,5,14
61,19,10,5,14
62,107,79,39,68
63,107,78,39,68
64,6,1,0,6
65,27,16,8,19
66,27,17,8,19
67,27,16,8,19
68,14,7,3,11
69,14,6,3,11
70,14,7,3,11
71,102,74,37,65
72,22,13,6,16
73,115,84,42,73
74,22,13,6,16
75,14,6,3,11
76,22,13,6,16
77,22,12,6,16
78,35,23,11,24
79,35,22,11,24
80,9,3,1,8
81,22,12,6,16
82,110,81,40,70
83,110,80,40,70
84,9,3,1,8
85,9,2,1,8
86,30,19,9,21
87,30,18,9,21
88,17,9,4,13
89,30,18,9,21
90,17,9,4,13
91,92,66,33,59
92,17,9,4,13
93,17,8,4,13
94,105,77,38,67
95,105,76,38,67
96,12,5,2,10
97,118,86,43,75
98,25,15,7,18
99,25,14,7,18
100,25,15,7,18
101,25,14,7,18
102,25,15,7,18
103,87,62,31,56
104,12,5,2,10
105,38,24,12,26
106,12,5,2,10
107,100,72,36,64
108,113,83,41,72
109,113,82,41,72
110,113,83,41,72
111,69,48,24,45
112,20,11,5,15
113,12,4,2,10
114,33,21,10,23
115,33,20,10,23
116,20,11,5,15
117,20,10,5,15
118,33,21,10,23
119,33,20,10,23
120,20,11,5,15
121,95,68,34,61
122,20,11,5,15
123,46,30,15,31
124,108,79,39,69
125,108,78,39,69
126,108,79,39,69
127,46,30,15,31
128,7,1,0,7
129,121,88,44,77
130,28,17,8,20
131,28,16,8,20
132,28,17,8,20
133,28,16,8,20
134,28,17,8,20
135,41,26,13,28
136,15,7,3,12
137,90,64,32,58
138,15,7,3,12
139,41,26,13,28
140,15,7,3,12
141,15,6,3,12
142,103,75,37,66
143,103,74,37,66
144,23,13,6,17
145,116,84,42,74
146,116,85,42,74
147,116,84,42,74
148,23,13,6,17
149,23,12,6,17
150,15,7,3,12
151,15,6,3,12
152,23,13,6,17
153,36,22,11,25
154,23,13,6,17
155,85,60,30,55
156,36,23,11,25
157,36,22,11,25
158,36,23,11,25
159,54,36,18,36
160,10,3,1,9
161,98,70,35,63
162,23,13,6,17
163,23,12,6,17
164,111,81,40,71
165,111,80,40,71
166,111,81,40,71
167,67,46,23,44
168,10,3,1,9
169,49,32,16,33
170,10,3,1,9
171,124,90,45,79
172,31,19,9,22
173,31,18,9,22
174,31,19,9,22
175,80,56,28,52
176,18,9,4,14
177,31,18,9,22
178,31,19,9,22
179,31,18,9,22
180,18,9,4,14
181,18,8,4,14
182,93,67,33,60
183,93,66,33,60
184,18,9,4,14
185,44,28,14,30
186,18,9,4,14
187,44,28,14,30
188,106,77,38,68
189,106,76,38,68
190,106,77,38,68
191,44,28,14,30
192,13,5,2,11
193,119,86,43,76
194,119,87,43,76
195,119,86,43,76
196,26,15,7,19
197,26,14,7,19
198,26,15,7,19
199,119,86,43,76
200,26,15,7,19
201,18,8,4,14
202,26,15,7,19
203,39,24,12,27
204,26,15,7,19
205,26,14,7,19
206,88,63,31,57
207,88,62,31,57
208,13,5,2,11
209,39,24,12,27
210,39,25,12,27
211,39,24,12,27
212,13,5,2,11
213,13,4,2,11
214,101,73,36,65
215,101,72,36,65
216,114,83,41,73
217,26,14,7,19
218,114,83,41,73
219,52,34,17,35
220,114,83,41,73
221,114,82,41,73
222,70,49,24,46
223,70,48,24,46
224,21,11,5,16
225,52,34,17,35
226,13,5,2,11
227,13,4,2,11
228,34,21,10,24
229,34,20,10,24
230,34,21,10,24
231,127,92,46,81
232,21,11,5,16
233,83,58,29,54
234,21,11,5,16
235,127,92,46,81
236,34,21,10,24
237,34,20,10,24
238,34,21,10,24
239,52,34,17,35
240,21,11,5,16
241,21,10,5,16
242,96,69,34,62
243,96,68,34,62
244,21,11,5,16
245,21,10,5,16
246,47,31,15,32
247,47,30,15,32
248,109,79,39,70
249,47,30,15,32
250,109,79,39,70
251,65,44,22,43
252,109,79,39,70
253,109,78,39,70
254,47,31,15,32
255,47,30,15,32
256,8,1,0,8
257,122,88,44,78
258,122,89,44,78
259,122,88,44,78
260,29,17,8,21
261,29,16,8,21
262,29,17,8,21
263,78,54,27,51
264,29,17,8,21
265,122,88,44,78
266,29,17,8,21
267,21,10,5,16
268,29,17,8,21
269,29,16,8,21
270,42,27,13,29
271,42,26,13,29
272,16,7,3,13
273,29,16,8,21
274,91,65,32,59
275,91,64,32,59
276,16,7,3,13
277,16,6,3,13
278,42,27,13,29
279,42,26,13,29
280,16,7,3,13
281,42,26,13,29
282,16,7,3,13
283,60,40,20,40
284,104,75,37,67
285,104,74,37,67
286,104,75,37,67
287,42,26,13,29
288,24,13,6,18
289,29,16,8,21
290,117,85,42,75
291,117,84,42,75
292,117,85,42,75
293,117,84,42,75
294,117,85,42,75
295,55,36,18,37
296,24,13,6,18
297,73,50,25,48
298,24,13,6,18
299,117,84,42,75
300,16,7,3,13
301,16,6,3,13
302,16,7,3,13
303,42,26,13,29
304,24,13,6,18
305,37,22,11,26
306,37,23,11,26
307,37,22,11,26
308,24,13,6,18
309,24,12,6,18
310,86,61,30,56
311,86,60,30,56
312,37,23,11,26
313,130,94,47,83
314,37,23,11,26
315,37,22,11,26
316,37,23,11,26
317,37,22,11,26
318,55,37,18,37
319,55,36,18,37
320,11,3,1,10
321,24,12,6,18
322,99,71,35,64
323,99,70,35,64
324,24,13,6,18
325,24,12,6,18
326,24,13,6,18
327,143,104,52,91
328,112,81,40,72
329,50,32,16,34
330,112,81,40,72
331,24,12,6,18
332,112,81,40,72
333,112,80,40,72
334,68,47,23,45
335,68,46,23,45
336,11,3,1,10
337,112,80,40,72
338,50,33,16,34
339,50,32,16,34
340,11,3,1,10
341,11,2,1,10
342,125,91,45,80
343,125,90,45,80
344,32,19,9,23
345,125,90,45,80
346,32,19,9,23
347,125,90,45,80
348,32,19,9,23
349,32,18,9,23
350,81,57,28,53
351,81,56,28,53
352,19,9,4,15
353,125,90,45,80
354,32,19,9,23
355,32,18,9,23
356,32,19,9,23
357,32,18,9,23
358,32,19,9,23
359,50,32,16,34
360,19,9,4,15
361,45,28,14,31
362,19,9,4,15
363,45,28,14,31
364,94,67,33,61
365,94,66,33,61
366,94,67,33,61
367,45,28,14,31
368,19,9,4,15
369,19,8,4,15
370,45,29,14,31
371,45,28,14,31
372,19,9,4,15
373,19,8,4,15
374,45,29,14,31
375,45,28,14,31
376,107,77,38,69
377,63,42,21,42
378,107,77,38,69
379,58,38,19,39
380,107,77,38,69
381,107,76,38,69
382,45,29,14,31
383,45,28,14,31
384,14,5,2,12
385,32,18,9,23
386,120,87,43,77
387,120,86,43,77
388,120,87,43,77
389,120,86,43,77
390,120,87,43,77
391,120,86,43,77
392,27,15,7,20
393,58,38,19,39
394,27,15,7,20
395,76,52,26,50
396,27,15,7,20
397,27,14,7,20
398,120,87,43,77
399,120,86,43,77
400,27,15,7,20
401,19,8,4,15
402,19,9,4,15
403,19,8,4,15
404,27,15,7,20
405,27,14,7,20
406,40,25,12,28
407,40,24,12,28
408,27,15,7,20
409,40,24,12,28
410,27,15,7,20
411,133,96,48,85
412,89,63,31,58
413,89,62,31,58
414,89,63,31,58
415,133,96,48,85
416,14,5,2,12
417,133,96,48,85
418,40,25,12,28
419,40,24,12,28
420,40,25,12,28
421,40,24,12,28
422,40,25,12,28
423,32,18,9,23
424,14,5,2,12
425,58,38,19,39
426,14,5,2,12
427,53,34,17,36
428,102,73,36,66
429,102,72,36,66
430,102,73,36,66
431,40,24,12,28
432,115,83,41,74
433,27,14,7,20
434,27,15,7,20
435,27,14,7,20
436,115,83,41,74
437,115,82,41,74
438,53,35,17,36
439,53,34,17,36
440,115,83,41,74
441,27,14,7,20
442,115,83,41,74
443,53,34,17,36
444,71,49,24,47
445,71,48,24,47
446,71,49,24,47
447,97,68,34,63
448,22,11,5,17
449,115,82,41,74
450,53,35,17,36
451,53,34,17,36
452,14,5,2,12
453,14,4,2,12
454,14,5,2,12
455,40,24,12,28
456,35,21,10,25
457,128,92,46,82
458,35,21,10,25
459,128,92,46,82
460,35,21,10,25
461,35,20,10,25
462,128,93,46,82
463,128,92,46,82
464,22,11,5,17
465,35,20,10,25
466,84,59,29,55
467,84,58,29,55
468,22,11,5,17
469,22,10,5,17
470,128,93,46,82
471,128,92,46,82
472,35,21,10,25
473,35,20,10,25
474,35,21,10,25
475,27,14,7,20
476,35,21,10,25
477,35,20,10,25
478,53,35,17,36
479,53,34,17,36
480,22,11,5,17
481,48,30,15,33
482,22,11,5,17
483,22,10,5,17
484,97,69,34,63
485,97,68,34,63
486,97,69,34,63
487,141,102,51,90
488,22,11,5,17
489,48,30,15,33
490,22,11,5,17
491,141,102,51,90
492,48,31,15,33
493,48,30,15,33
494,48,31,15,33
495,97,68,34,63
496,110,79,39,71
497,22,10,5,17
498,48,31,15,33
499,48,30,15,33
500,110,79,39,71
501,110,78,39,71
502,66,45,22,44
503,66,44,22,44
504,110,79,39,71
505,61,40,20,41
506,110,79,39,71
507,35,20,10,25
508,48,31,15,33
509,48,30,15,33
510,48,31,15,33
511,61,40,20,41
512,9,1,0,9
513,35,20,10,25
514,123,89,44,79
515,123,88,44,79
516,123,89,44,79
517,123,88,44,79
518,123,89,44,79
519,61,40,20,41
520,30,17,8,22
521,123,88,44,79
522,30,17,8,22
523,123,88,44,79
524,30,17,8,22
525,30,16,8,22
526,79,55,27,52
527,79,54,27,52
528,30,17,8,22
529,30,16,8,22
530,123,89,44,79
531,123,88,44,79
532,30,17,8,22
533,30,16,8,22
534,22,11,5,17
535,22,10,5,17
536,30,17,8,22
537,22,10,5,17
538,30,17,8,22
539,48,30,15,33
540,43,27,13,30
541,43,26,13,30
542,43,27,13,30
543,136,98,49,87
544,17,7,3,14
545,43,26,13,30
546,30,17,8,22
547,30,16,8,22
548,92,65,32,60
549,92,64,32,60
550,92,65,32,60
551,43,26,13,30
552,17,7,3,14
553,136,98,49,87
554,17,7,3,14
555,30,16,8,22
556,43,27,13,30
557,43,26,13,30
558,43,27,13,30
559,87,60,30,57
560,17,7,3,14
561,43,26,13,30
562,43,27,13,30
563,43,26,13,30
564,17,7,3,14
565,17,6,3,14
566,61,41,20,41
567,61,40,20,41
568,105,75,37,68
569,56,36,18,38
570,105,75,37,68
571,30,16,8,22
572,105,75,37,68
573,105,74,37,68
574,43,27,13,30
575,43,26,13,30
576,25,13,6,19
577,30,16,8,22
578,30,17,8,22
579,30,16,8,22
580,118,85,42,76
581,118,84,42,76
582,118,85,42,76
583,30,16,8,22
584,118,85,42,76
585,56,36,18,38
586,118,85,42,76
587,118,84,42,76
588,118,85,42,76
589,118,84,42,76
590,56,37,18,38
591,56,36,18,38
592,25,13,6,19
593,74,50,25,49
594,74,51,25,49
595,74,50,25,49
596,25,13,6,19
597,25,12,6,19
598,118,85,42,76
599,118,84,42,76
600,17,7,3,14
601,56,36,18,38
602,17,7,3,14
603,69,46,23,46
604,17,7,3,14
605,17,6,3,14
606,43,27,13,30
607,43,26,13,30
608,25,13,6,19
609,131,94,47,84
610,38,23,11,27
611,38,22,11,27
612,38,23,11,27
613,38,22,11,27
614,38,23,11,27
615,69,46,23,46
616,25,13,6,19
617,131,94,47,84
618,25,13,6,19
619,131,94,47,84
620,87,61,30,57
621,87,60,30,57
622,87,61,30,57
623,131,94,47,84
624,38,23,11,27
625,25,12,6,19
626,131,95,47,84
627,131,94,47,84
628,38,23,11,27
629,38,22,11,27
630,38,23,11,27
631,38,22,11,27
632,38,23,11,27
633,30,16,8,22
634,38,23,11,27
635,30,16,8,22
636,56,37,18,38
637,56,36,18,38
638,56,37,18,38
639,131,94,47,84
640,12,3,1,11
641,51,32,16,35
642,25,13,6,19
643,25,12,6,19
644,100,71,35,65
645,100,70,35,65
646,100,71,35,65
647,38,22,11,27
648,25,13,6,19
649,144,104,52,92
650,25,13,6,19
651,100,70,35,65
652,25,13,6,19
653,25,12,6,19
654,144,105,52,92
655,144,104,52,92
656,113,81,40,73
657,51,32,16,35
658,51,33,16,35
659,51,32,16,35
660,113,81,40,73
661,113,80,40,73
662,25,13,6,19
663,25,12,6,19
664,113,81,40,73
665,51,32,16,35
666,113,81,40,73
667,144,104,52,92
668,69,47,23,46
669,69,46,23,46
670,69,47,23,46
671,95,66,33,62
672,12,3,1,11
673,64,42,21,43
674,113,81,40,73
675,113,80,40,73
676,51,33,16,35
677,51,32,16,35
678,51,33,16,35
679,64,42,21,43
680,12,3,1,11
681,64,42,21,43
682,12,3,1,11
683,38,22,11,27
684,126,91,45,81
685,126,90,45,81
686,126,91,45,81
687,38,22,11,27
688,33,19,9,24
689,126,90,45,81
690,126,91,45,81
691,126,90,45,81
692,33,19,9,24
693,33,18,9,24
694,126,91,45,81
695,126,90,45,81
696,33,19,9,24
697,126,90,45,81
698,33,19,9,24
699,64,42,21,43
700,82,57,28,54
701,82,56,28,54
702,82,57,28,54
703,170,124,62,108
704,20,9,4,16
705,33,18,9,24
